ALTERDATA;NORMALIZADO;ITEM;PCG;QUANTIDADE
COORDENADOR(A) DE ENFERMAGEM ESTOMOTERAPIA;COORDENADOR DE ENFERMAGEM ESTOMOTERAPIA;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE ENFERMAGEM NIR;COORDENADOR DE ENFERMAGEM NIR;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ENFERMAGEM NSP;COORDENADOR DE ENFERMAGEM NSP;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ENFERMAGEM OPME;COORDENADOR DE ENFERMAGEM OPME;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ENFERMAGEM PEDIATRIA;COORDENADOR DE ENFERMAGEM PEDIATRIA;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ENFERMAGEM UTI ADULTO;COORDENADOR DE ENFERMAGEM UTI ADULTO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ENFERMAGEM UTI CIRURGICA;COORDENADOR DE ENFERMAGEM UTI CIRÚRGICA;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE FARMACIA;COORDENADOR DE FARMÁCIA;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE FATURAMENTO;COORDENADOR DE FATURAMENTO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE FISIOTERAPIA;COORDENADOR DE FISIOTERAPIA;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE FISIOTERAPIA UTI;COORDENADOR DE FISIOTERAPIA UTI;Máscara N95;PCG UNIVERSAL;1
